Abyssinian
Aegean
American Bobtail
American Curl
American Shorthair
American Wirehair
Arabian Mau
Asian
Asian Semi-longhair
Australian Mist
Balinese
Bambino
Bengal
Birman
Bombay
Brazilian Shorthair
British Longhair
British Semi-longhair
British Shorthair
Burmese
Burmilla
California Spangled
Chantilly-Tiffany
Chartreux
Chausie
Cheetoh
Colorpoint Shorthair
Colorpoint Shorthair (Himalayan)
Cornish Rex
Cymric (Manx Longhair)
Cyprus
Devon Rex
Doll Face Persian (Traditional Persian)
Don Sphynx (Donskoy)
Donskoy (Don Sphynx)
Dragon Li
Dwarf cat (Dwelf)
Dwelf (Dwarf cat)
Egyptian Mau
European Shorthair
Exotic ShortHair
Foldex
German Rex
Havana Brown
Highlander
Himalayan (Colorpoint Persian)
Japanese Bobtail
Javanese
Khao Manee
Korat
Korean Bobtail
Korn Ja
Kuril Islands Bobtail (Kurilian Bobtail)
Kurilian Bobtail
Kurilian Bobtail (Kuril Islands Bobtail)
LaPerm
Lykoi
Maine Coon
Manx
Manx Longhair (Cymric)
Mekong Bobtail
Minskin
Munchkin
Napoleon
Nebelung
Norwegian Forest Cat
Ocicat
Ojos Azules
Oregon Rex
Oriental Bicolor
Oriental Longhair
Oriental Shorthair
Perfold
Persian (Modern Persian Cat)
Peterbald
Pixie-bob
Raas
Ragamuffin
Ragdoll
Russian Blue
Russian White, Black and Tabby
Sam Sawet
Savannah
Scottish Fold
Selkirk Rex
Serengeti
Serrade petit
Siamese
Siberian
Singapura
Snowshoe
Sokoke
Somali
Sphynx
Thai
Tonkinese
Toyger
Traditional Persian (Doll Face Persian)
Turkish Angora
Turkish Van
Ukrainian Levkoy
York Chocolate
